ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Population_Weighted_RWI,Total_Population
Awaran,PK201,Balochistan,PK2,-0.09712529409807724,144523.87637354806
Barkhan,PK202,Balochistan,PK2,-0.30857143900511225,125911.6382927224
Chagai,PK203,Balochistan,PK2,-0.11916856137629213,134894.1468205545
Dera Bugti,PK204,Balochistan,PK2,0.1853749881543689,223601.79380618036
Gwadar,PK205,Balochistan,PK2,0.2370598529426685,200746.96624217555
Harnai,PK206,Balochistan,PK2,-0.1467959249644607,95199.11073316261
Jaffarabad,PK207,Balochistan,PK2,-0.11290604685276391,383064.223709831
Jhal Magsi,PK208,Balochistan,PK2,-0.31224714659688824,134711.45830776915
Kachhi,PK209,Balochistan,PK2,-0.22300068780494475,244713.87004582584
Kalat,PK210,Balochistan,PK2,0.035503376680423235,177280.34614871442
Kech,PK211,Balochistan,PK2,0.0175157418703741,504761.0453658551
Kharan,PK212,Balochistan,PK2,-0.07501649362960086,135742.87516027316
Khuzdar,PK213,Balochistan,PK2,-0.09896245381349532,514844.44477518275
Killa Abdullah,PK214,Balochistan,PK2,-0.10699764161255648,201061.5339599531
Killa Saifullah,PK215,Balochistan,PK2,-0.19439988466525696,237918.70512177423
Kohlu,PK216,Balochistan,PK2,-0.1593853534969484,122624.26629992574
Lasbela,PK217,Balochistan,PK2,-0.05806042720241651,376696.3033577092
Lehri,PK218,Balochistan,PK2,-0.11213481886570414,109295.04758001119
Loralai,PK219,Balochistan,PK2,0.18931685937395917,165109.36029925942
Mastung,PK220,Balochistan,PK2,-0.033278569659582605,179071.85173255764
Musakhel,PK221,Balochistan,PK2,-0.28648309259959615,159869.8795583807
Nasirabad,PK222,Balochistan,PK2,-0.2997701153133616,301781.97290373035
Nushki,PK223,Balochistan,PK2,0.14910045251367893,121347.24076680653
Panjgur,PK224,Balochistan,PK2,0.5566005735495742,272818.4348162897
Pishin,PK225,Balochistan,PK2,-0.05770886792587749,505675.24366053566
Quetta,PK226,Balochistan,PK2,0.8671966512207694,1109888.4953802638
