ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,Population_Weighted_RWI,Total_Population
Makin,PK53003,South Waziristan,PK530,Khyber Pakhtunkhwa,PK5,-0.27470871515809775,53505.1677758554
Tiarza,PK53006,South Waziristan,PK530,Khyber Pakhtunkhwa,PK5,-0.2588794921784947,65196.75622275658
Charbagh,PK53204,Swat,PK532,Khyber Pakhtunkhwa,PK5,-0.0970926772591226,97222.54591395333
Khwaza Khela,PK53207,Swat,PK532,Khyber Pakhtunkhwa,PK5,0.2771512277042823,195606.44770653173
Matta Kharirai,PK53208,Swat,PK532,Khyber Pakhtunkhwa,PK5,0.19830887472146755,272650.59289600886
Chakwal,PK60501,Chakwal,PK605,Punjab,PK6,0.21471654078632868,803044.1250253953
Bahawalnagar,PK60201,Bahawalnagar,PK602,Punjab,PK6,0.16023212005621457,893647.3244565148
Chishtian,PK60202,Bahawalnagar,PK602,Punjab,PK6,0.14582548324632896,828576.2455822919
Fort Abbas,PK60203,Bahawalnagar,PK602,Punjab,PK6,-0.014253327542535627,476973.8274175776
Haroonabad,PK60204,Bahawalnagar,PK602,Punjab,PK6,-0.12460142680805092,628425.976480497
Minchinabad,PK60205,Bahawalnagar,PK602,Punjab,PK6,-0.07529653024996111,583594.1800232343
Hasilpur,PK60303,Bahawalpur,PK603,Punjab,PK6,0.2812966958640947,522064.3412619382
Khairpur Tamewali,PK60304,Bahawalpur,PK603,Punjab,PK6,-0.1084951421726757,310030.464261543
Yazman,PK60305,Bahawalpur,PK603,Punjab,PK6,-0.17955789277593487,666189.2741118725
Mian Channu,PK61504,Khanewal,PK615,Punjab,PK6,0.17388871516317259,1021431.1154003516
Depalpur,PK62601,Okara,PK626,Punjab,PK6,0.12154631554747186,1692491.594618963
Arif Wala,PK62701,Pakpattan,PK627,Punjab,PK6,0.06919344028040249,997417.9846249819
Pakpattan,PK62702,Pakpattan,PK627,Punjab,PK6,0.1483169178527397,1134965.6704386193
Chichawatni,PK63101,Sahiwal,PK631,Punjab,PK6,-0.049754502593313855,1297046.7056790162
Burewala,PK63601,Vehari,PK636,Punjab,PK6,-0.0733135006351759,1206774.9707581606
Mailsi,PK63602,Vehari,PK636,Punjab,PK6,0.02908383237527097,1153507.3517992757
Vehari,PK63603,Vehari,PK636,Punjab,PK6,0.06145667996033572,1092634.2698941529
Ahmadpur East,PK60301,Bahawalpur,PK603,Punjab,PK6,-0.028751290775198394,1185545.3349612597
Bahawalpur,PK60302,Bahawalpur,PK603,Punjab,PK6,0.4049151933797743,1338218.7633124013
Dunyapur,PK61901,Lodhran,PK619,Punjab,PK6,-0.1001339542092973,564696.7948394045
Kahror Pacca,PK61902,Lodhran,PK619,Punjab,PK6,-0.04738731315468208,589943.3681272119
Lodhran,PK61903,Lodhran,PK619,Punjab,PK6,0.00986803720956485,783993.6626221035
Jalalpur Pirwala,PK62201,Multan,PK622,Punjab,PK6,-0.14566126493403414,597030.6806512661
Multan Saddar,PK62203,Multan,PK622,Punjab,PK6,0.1316829371210269,1354087.81817084
Shujabad,PK62204,Multan,PK622,Punjab,PK6,-0.2171727611170519,703891.3155534808
Alipur,PK62301,Muzaffargarh,PK623,Punjab,PK6,0.01952916668944925,621318.6498806141
Jatoi,PK62302,Muzaffargarh,PK623,Punjab,PK6,-0.2594532536774631,752759.8888621908
Muzaffargarh,PK62304,Muzaffargarh,PK623,Punjab,PK6,-0.038857226263150836,1623767.763452813
Liaqatpur,PK62802,Rahim Yar Khan,PK628,Punjab,PK6,-0.12207389376443632,1166911.445258174
Jhang,PK61202,Jhang,PK612,Punjab,PK6,0.14274489975116939,1665365.790967511
Athara Hazari,PK61204,Jhang,PK612,Punjab,PK6,-0.2746951187787436,321666.0712574795
Khushab,PK61601,Khushab,PK616,Punjab,PK6,-0.014154768855427262,860788.358544318
Noorpur,PK61603,Khushab,PK616,Punjab,PK6,-0.4046345839238051,285834.6177091934
Quaidabad,PK61604,Khushab,PK616,Punjab,PK6,-0.04641994482498245,239808.24176906887
Choubara,PK61801,Leiah,PK618,Punjab,PK6,-0.49513861740640436,265923.2694976982
Choa Saidan Shah,PK60502,Chakwal,PK605,Punjab,PK6,0.1525691174713912,176796.86812813953
Kallar Kahar,PK60503,Chakwal,PK605,Punjab,PK6,0.08272503535338356,188542.61622752808
Pind Dadan Khan,PK61303,Jhelum,PK613,Punjab,PK6,0.03662495489039155,423705.57576207444
Sohawa,PK61304,Jhelum,PK613,Punjab,PK6,-0.013895330424399492,252600.1113150157
Naushera,PK61602,Khushab,PK616,Punjab,PK6,-0.26395798473567017,115844.30060642958
Malakwal,PK62001,Mandi Bahauddin,PK620,Punjab,PK6,-0.09160642626166654,488048.69118208066
Gujar Khan,PK63001,Rawalpindi,PK630,Punjab,PK6,0.2675709822705385,813488.6042705663
Bhera,PK63207,Sargodha,PK632,Punjab,PK6,0.14387051984107915,397614.85980139486
Bhawana,PK60601,Chiniot,PK606,Punjab,PK6,-0.22043086245098711,465326.4585579932
Chiniot,PK60602,Chiniot,PK606,Punjab,PK6,0.481839963329349,596979.3679477628
Lalian,PK60603,Chiniot,PK606,Punjab,PK6,-0.10347747307150051,535330.8750927597
Chak Jhumra,PK60801,Faisalabad,PK608,Punjab,PK6,0.09579753098847611,416179.48803636245
Faisalabad City,PK60802,Faisalabad,PK608,Punjab,PK6,1.1438929151210808,4280732.306999853
Faisalabad Sadar,PK60803,Faisalabad,PK608,Punjab,PK6,0.5350180341916877,1593739.955206234
Jaranwala,PK60804,Faisalabad,PK608,Punjab,PK6,0.19458268373757526,1707876.5576240513
Pindi Bhattian,PK61102,Hafizabad,PK611,Punjab,PK6,0.1164430618794502,575723.1423649751
Kot Momin,PK63202,Sargodha,PK632,Punjab,PK6,-0.08884143404583134,527047.5995505713
Sahiwal,PK63203,Sargodha,PK632,Punjab,PK6,-0.15542816408942015,395642.7726747263
Sargodha,PK63204,Sargodha,PK632,Punjab,PK6,0.5584042734193387,1788160.2608705312
Sillanwali,PK63206,Sargodha,PK632,Punjab,PK6,-0.030563657970240205,417055.20584969036
Dera Ghazi Khan,PK60702,Dera Ghazi Khan,PK607,Punjab,PK6,0.2037889445342072,1178724.037051851
Kot Chatta,PK60703,Dera Ghazi Khan,PK607,Punjab,PK6,-0.022632662170555706,725789.9687562101
Leiah,PK61803,Leiah,PK618,Punjab,PK6,-0.24706412363556804,978553.8152821641
Kot Addu,PK62303,Muzaffargarh,PK623,Punjab,PK6,-0.3347602626744932,1337615.0429779608
Summundri,PK60805,Faisalabad,PK608,Punjab,PK6,-0.12614987721213056,848946.2310089506
Tandlian Wala,PK60806,Faisalabad,PK608,Punjab,PK6,-0.04654508655675079,898087.5222966969
Pattoki,PK61404,Kasur,PK614,Punjab,PK6,0.25473383002594163,1050358.4790371694
Nankana Sahib,PK62401,Nankana Sahib,PK624,Punjab,PK6,0.04506659538447926,1136692.0661167316
Sangla Hill,PK62402,Nankana Sahib,PK624,Punjab,PK6,0.08549741537431678,314109.49115903676
Shah Kot,PK62403,Nankana Sahib,PK624,Punjab,PK6,0.182849148113316,320935.82484992594
Okara,PK62602,Okara,PK626,Punjab,PK6,0.5116300115579118,1436321.5133233443
Renala Khurd,PK62603,Okara,PK626,Punjab,PK6,0.08110984121487183,582843.5886106417
Sahiwal,PK63102,Sahiwal,PK631,Punjab,PK6,0.3803100872118985,1750181.1299790367
Safdarabad,PK63303,Sheikhupura,PK633,Punjab,PK6,-0.008486168350866801,337130.05192551017
Sheikhupura,PK63305,Sheikhupura,PK633,Punjab,PK6,0.5759384511864061,1736645.945065122
Gojra,PK63501,Toba Tek Singh,PK635,Punjab,PK6,0.061562761955074194,808428.8033524659
Kamalia,PK63502,Toba Tek Singh,PK635,Punjab,PK6,0.049791121863931136,679751.9098767098
Toba Tek Singh,PK63503,Toba Tek Singh,PK635,Punjab,PK6,0.030633744570570606,870645.0150743108
Gujranwala,PK60901,Gujranwala,PK609,Punjab,PK6,0.8888024183195378,3195596.836669339
Kamoke,PK60902,Gujranwala,PK609,Punjab,PK6,0.4386033904176664,665596.6246542633
Nowshera Virkan,PK60903,Gujranwala,PK609,Punjab,PK6,0.2373839719929409,701300.5800866559
Wazirabad,PK60904,Gujranwala,PK609,Punjab,PK6,0.42914860314050707,1062079.3385560084
Gujrat,PK61001,Gujrat,PK610,Punjab,PK6,0.5874460747410146,1812673.3473379128
Kharian,PK61002,Gujrat,PK610,Punjab,PK6,0.4232330760581796,1299897.360481847
